评分维度相关性分析报告
基于维度定义 v1.0.0，生成于 2026-05-21
============================================================

## 与 xhs_saves 的相关性

维度                 r       p     n 显著性
--------------------------------------------------
趣味性            0.076   0.136   383  
评论引导性          0.049   0.348   375  
用户共鸣           0.040   0.435   383  
猎奇感           -0.039   0.442   383  
有用信息          -0.038   0.456   383  
名人             0.036   0.488   383  
原创度            0.034   0.511   383  
简单通知          -0.025   0.619   383  
剧情感            0.024   0.638   383  
冲突感           -0.023   0.659   383  
概括全部          -0.021   0.688   383  
对立信息          -0.020   0.695   383  
热点            -0.019   0.715   383  
收藏驱动          -0.018   0.731   375  
震惊体           -0.016   0.751   383  
离题            -0.015   0.777   383  
负面情绪          -0.010   0.838   383  
啰嗦重复          -0.005   0.915   383  
视频            -0.005   0.915   383  
主动讨赏           0.000   1.000   383  

## 与 xhs_comments 的相关性

维度                 r       p     n 显著性
--------------------------------------------------
用户共鸣           0.132   0.010   383  **
剧情感            0.131   0.010   383  *
评论引导性          0.095   0.067   375  
名人             0.062   0.227   383  
趣味性            0.041   0.419   383  
震惊体           -0.040   0.439   383  
原创度            0.037   0.472   383  
猎奇感            0.035   0.495   383  
有用信息          -0.027   0.601   383  
概括全部          -0.026   0.611   383  
离题             0.025   0.629   383  
简单通知          -0.024   0.642   383  
对立信息          -0.021   0.677   383  
收藏驱动          -0.020   0.697   375  
热点            -0.013   0.792   383  
负面情绪          -0.012   0.817   383  
视频            -0.010   0.850   383  
冲突感            0.004   0.945   383  
啰嗦重复          -0.001   0.978   383  
主动讨赏           0.000   1.000   383  

## 与 xhs_views 的相关性

维度                 r       p     n 显著性
--------------------------------------------------
用户共鸣           0.077   0.135   383  
趣味性            0.074   0.146   383  
剧情感            0.073   0.156   383  
评论引导性          0.072   0.164   375  
名人             0.052   0.311   383  
有用信息          -0.046   0.371   383  
原创度            0.042   0.411   383  
简单通知          -0.032   0.531   383  
收藏驱动          -0.026   0.611   375  
猎奇感           -0.025   0.632   383  
概括全部          -0.022   0.664   383  
震惊体           -0.016   0.750   383  
对立信息          -0.016   0.755   383  
热点            -0.015   0.767   383  
负面情绪          -0.011   0.831   383  
视频            -0.008   0.884   383  
离题            -0.007   0.893   383  
啰嗦重复          -0.006   0.903   383  
冲突感           -0.004   0.935   383  
主动讨赏           0.000   1.000   383  

*p<0.05  **p<0.01
